name,lat,lon
Церковь Георгия Победоносца,55.587951,37.813785
Королёвский исторический музей,55.9183032,37.8136946
None144,55.8156149,37.4707968
None145,55.829246,37.459937
Домовый храм Елисаветы Феодоровны,55.8037233,37.563069
Церковь Иосифа Обручника,55.7836728,37.6631255
Часовня 'Неувядаемый Цвет',55.784037,37.666213
М.О.С.Т.,55.7333654,37.6015687
None150,55.7333743,37.6071246
Музей-квартира священника Павла Флоренского,55.7392507,37.5805508
Белые медведи,55.762846,37.5817734
Северные морские котики,55.7625502,37.5797725
Полярные совы,55.7628553,37.5812184
Приматы,55.7622604,37.5833966
Турья горка,55.7633498,37.5823827
Ленивцы,55.7626045,37.5795618
Экзотариум,55.7640925,37.5841846
Остров зверей,55.7640503,37.5837448
Ластоногие,55.7641529,37.5756503
Капибары,55.761906,37.5790597
Журавли,55.7627948,37.578737
Японские макаки,55.7624191,37.5790074
Фауна Китая,55.7621541,37.5748676
Кистеухие свиньи,55.7640293,37.5768573
Непарнокопытные,55.7635945,37.5744594
Овцебыки,55.7636309,37.5754465
Гепарды,55.7623269,37.5758381
Хищные птицы,55.7627455,37.582126
Сумеречный мир,55.7632711,37.5781529
Круг катания,55.7631271,37.5772738
Древо Жизни,55.7630624,37.5781789
Дельфины,55.8326892,37.6199676
Снежные козы,55.7634709,37.5762243
Кошачий и собачий ряд,55.7630996,37.575248
Антилопы,55.7631208,37.5758863
Очковые медведи,55.7626531,37.5749128
Волки,55.7642046,37.5843558
Ю. В. Никулину,55.7705893,37.6208914
Старый цирк,55.7705819,37.6218295
None181,55.9116697,37.3782291
None182,55.8939595,37.3881759
Музей истории Лефортово,55.76945,37.7110632
None184,55.8074356,37.7325488
None185,55.5745822,37.6042756
None186,55.7933961,37.3834815
Кремлёвские куранты,55.7525515,37.6214371
Галерея 'Измайлово',55.7908746,37.7703539
Дореволюционный фонарь,55.8003605,37.470263
Водный путь,55.8519867,37.4715336
Музейно-выставочный комплекс,55.7609828,37.8605297
Алексе́й Никола́евич Крыло́в,55.8519553,37.4668994
Баскетболисты,55.853089,37.4664033
Дети мира,55.8518002,37.4756301
Менажереи_-_ домики для птиц,55.7346945,37.811511
Музей истории ГУЛАГа,55.7771129,37.6137325
Минералогический музей им. Ферсмана,55.7187353,37.592779
Экспериментальный каркасно-панельный жилой дом,55.6885895,37.5777448
Экспериментальный каркасно-панельный жилой дом_-_ прототип серии К-7,55.6892667,37.5773892
Метровагон серии А,55.716625,37.6889924
Узкоколейный тепловоз ТУ6А-2485,55.7164979,37.6901738
Церковь Новомучеников и Исповедников Российских,55.8030521,37.4018032
Церковь Петра_-_ митрополита Московского_-_ и Иннокентия_-_ епископа Иркутского,55.583888,37.8493682
Церковь-часовня Иконы Божией Матери Неувядаемый Цвет,55.6168786,37.344306
Часовня Петра и Павла,55.6121332,37.4873844
Церковь Виктора Воина,55.6603254,37.8484078
Часовня Иконы Божией Матери Владимирская,55.6054027,37.4427412
Часовня Иконы Божией Матери Всех Скорбящих Радость,55.8910998,37.4164801
None209,55.768495,37.8444603
Мемориальный музей-квартира А.Н. Толстого,55.7585382,37.5966937
None211,55.763716,37.6900352
Центральный пограничный музей ФСБ России,55.7508201,37.6455571
Церковь Собора Дивеевских Святых,55.7769424,37.6328641
Дайте дорогу утятам,55.7283345,37.5556181
Скамейки наук,55.7660601,37.635963
Дуб-долгожитель,55.8188169,37.328345
None217,55.7779356,37.8452821
Придел Александра Свирского,55.752461,37.6232415
Церковь Варлаама Хутынского,55.7523911,37.6229993
Придел Василия Блаженного,55.7526127,37.6232411
Придел Григория Армянского,55.7525095,37.62289
Придел Киприана и Иустины,55.7525943,37.6229716
Придел Николы Великорецкого,55.7523737,37.6231678
Придел Святой Троицы,55.7525436,37.6232686
Придел Трёх Патриархов,55.7525796,37.6231319
Теремной дворец,55.7506384,37.6157295
Золотая Царицына палата,55.7507042,37.616391
Вертолёт,55.6985245,37.8778887
Усадьба Узкое,55.6203088,37.5371256
None231,55.7257926,37.5981814
None232,55.8513304,37.58619
Центр фотографии им. братьев Люмьер,55.739769,37.6101802
Храм преподобных Варлаама и Иоасафа под колокольней,55.7257772,37.5573712
Храм св. ап. Иоанна Богослова,55.7257395,37.5575325
Горельефы Храма Христа Спасителя,55.7152598,37.603959
Дом-музей Б. Пастернака,55.6612444,37.3338545
Музей-галерея Е.А. Евтушенко,55.6535947,37.3275084
None239,55.7542908,37.6133379
None240,55.7551786,37.614011
None241,55.7552889,37.6136941
None242,55.7553449,37.6143489
None243,55.7555132,37.613863
None244,55.7559073,37.6159521
None245,55.8193042,37.4677603
Новая Третьяковка,55.7348087,37.6062274
Лошадка,55.7610218,37.7561771
None248,55.7766439,37.8397438
Музей Буратино-Пиноккио,55.7910895,37.7816015
None250,55.6138594,37.5377059
Музей книги,55.7522086,37.6088753
Юный фотограф,55.8275295,37.3335296
None253,55.7388504,37.6106045
Древо жизни,55.748299,37.5439559
Фотогалерея 'Метро',55.7496931,37.540548
None256,55.6144184,37.5392804
Церковь Евангельских христиан-баптистов Воскресение,55.642928,37.6762023
Всем влюбленным,55.7705117,37.6079721
персонажам поэмы «Москва-Петушки»,55.785243,37.6059273
Московский дом Ахматовой,55.7571296,37.6106752
Музей-квартира В.Э. Мейерхольда,55.7600859,37.6099116
Весть,55.7590892,37.6065999
Московский музей современного искусства,55.7671834,37.6138513
None264,55.8245655,37.6146907
Роза Азора,55.7570018,37.5992068
Музей искусства народов Востока,55.7563931,37.5998947
None267,55.6627654,37.6678928
None268,55.7035616,37.5324743
None269,55.703898,37.5318703
None270,55.7024746,37.5294093
None271,55.7021829,37.529935
None272,55.7026336,37.5307905
None273,55.7029149,37.5312662
None274,55.7029331,37.5302516
None275,55.7032062,37.5307406
Стена Цоя,55.7490497,37.5909234
Домовой храм в МИИТ,55.7878191,37.6081014
Здание школы 1888г,55.7613595,37.8599221
Дом управляющих хлопкопрядильной фабрикой 1850г,55.7594882,37.8611934
Общежитие им. В. М. Большакова (Четвёртая казарма) 1881г,55.761115,37.858243
Общежитие им. А. Сысоева (Пятая казарма) 1910г,55.7614742,37.8572291
Общежитие им. И. И. Топорова (Третья казарма) 1881г,55.7603212,37.8576422
Хлопкопрядильная фабрика,55.7589785,37.8644747
Общежитие им. С. С. Богданова (Вторая казарма),55.7601613,37.8595412
None285,55.8270153,37.4500728
Дом-музей Шаляпина,55.7566941,37.5833111
Московский государственный музей Вадима Сидура,55.753169,37.7990588
Выставочный зал истории войны в Афганистане,55.757888,37.774538
Химкинская картинная галерея им. С.Н. Горшина,55.8891973,37.4457276
Дом Высоцкого на Таганке,55.7445426,37.6519451
None291,55.7448165,37.8514099
None293,55.7510407,37.6093639
None294,55.7511565,37.6094249
None295,55.7512202,37.6094585
None296,55.7513356,37.6095193
None297,55.7509826,37.6093333
None298,55.7513907,37.6095484
None299,55.7509285,37.6093048
None300,55.7514501,37.6095797
None301,55.7508695,37.6092736
None302,55.7512774,37.6094887
None303,55.7508099,37.6092423
None304,55.7511007,37.6093955
Ч. Дарвин,55.7522973,37.6085133
None306,55.7522852,37.6088804
И. П. Павлов,55.7523076,37.6082251
None308,55.7523044,37.608315
None309,55.7522875,37.6087871
None310,55.7522909,37.6086917
None311,55.7522942,37.608599
None312,55.7523008,37.6084142
Бибигон,55.7026093,37.3284529
Храм великомученицы Татианы Римской,55.6758757,37.7657974
Государственный музей Л.Н. Толстого,55.7428122,37.5969685
None316,55.8913045,37.3779271
Аллея Славы в честь Победителей в Великой Отечественной войне,55.889338,37.3805065
Дом В.Б. Толстого,55.7590714,37.6587479
Водяное колесо,55.9104936,37.3855098
Научно-мемориальный музей профессора Н.Е. Жуковского,55.7635513,37.6790989
Скамья примирения,55.7441078,37.6189697
Прощание славянки,55.7766094,37.5812356
None323,55.6617784,37.6664844
Миру — мир!,55.7267875,37.5609048
Церковь Иконы Божией Матери Отрада или Утешение на Каховке,55.6534959,37.5966443
None326,55.8409369,37.3246207
None327,55.8467623,37.4042647
None328,55.8483028,37.4103636
None329,55.762016,37.624186
None330,55.74253,37.6569771
None331,55.7425445,37.6570534
None332,55.7425546,37.6568987
None333,55.7425897,37.6572467
None334,55.7425953,37.6570891
None335,55.7426149,37.6572061
Выставочный зал 'АхДи',55.7506848,37.5957474
None337,55.9098579,37.563704
None338,55.9098874,37.5639667
Политехнический музей на ВДНХ,55.8343574,37.6214271
Усадьба Измайлово,55.7919814,37.7610548
Марьино,55.6577414,37.7909919
None342,55.810274,37.8423887
None343,55.6573217,37.7968414
Творческая мастерская художника Зураба Церетели,55.7662408,37.5769988
А. П. Чехову,55.6995549,37.5162556
None347,55.6115303,37.5559571
Музей уникальных кукол,55.7593066,37.6445089
Владимиру Зворыкину,55.8232547,37.6121852
Придел Входа Господня в Иерусалим,55.7524227,37.6228549
временный храм Апостола и евангелиста Иоанна Богослова,55.8391875,37.4650542
временный храм в честь священномученика Ермогена_-_ патриарха Московского и Всея Руси,55.8438586,37.4286324
Запасной командный пункт Верховного Главнокомандующего ('Бункер Сталина'),55.7973575,37.7516046
None354,55.8221162,37.8697915
None355,55.8082606,37.3332482
Содружество церквей «Слово жизни»,55.8109634,37.6550671
Девочка на шаре,55.751856,37.4103707
Музей русской гармоники А. Мирека,55.771822,37.5945538
Политехнический музей_-_ открытые фонды,55.7089892,37.7226516
Государственный музей М. А. Булгакова,55.7670276,37.5939442
None361,55.7526048,37.6014423
Дом-музей А.П. Чехова,55.7603073,37.5860933
None363,55.7416773,37.8796913
Дом-музей В.Л. Пушкина,55.7690155,37.6688753
Красногорская церковь евангельских христиан-баптистов,55.8136677,37.321016
Пожарный насос,55.6839453,37.8751626
Мемориальный музей-квартира Е.Ф.Гнесиной,55.755259,37.592232
Музей воды,55.7293577,37.656708
None369,55.7601797,37.6258985
Музей детства,55.760394,37.6249678
Экспериментаниум,55.8088254,37.5108289
None372,55.5742158,37.355543
Дом И.С. Остроухова в Трубниках,55.7548303,37.586737
Дом Русского зарубежья имени Александра Солженицына,55.7428607,37.6516599
Усыпальница бояр Романовых,55.7318124,37.6563244
Мемориальная квартира Андрея Белого,55.74737,37.5855988
Дом-музей А.И. Герцена,55.7471255,37.5918975
Ар Деко,55.7152789,37.5741033
Творческое наследие академика Юрия Орехова,55.7404075,37.5781424
Музей-квартира Г. С. Улановой,55.7466123,37.6418981
Музей Императорского православного палестинского общества,55.7551257,37.6381335
Музей Ю.В. Никулина,55.7578004,37.633077
Археологический выставочный комплекс 'Старый 'Гостиный двор',55.7538794,37.6277982
П.И. Чайковский и Москва,55.7581396,37.5853551
Интерактивный музей 'Лунариум',55.7610315,37.5836102
Stella Art Foundation,55.758491,37.5895348
Педагогический музей А.С.Макаренко,55.7299494,37.4330928
Музей барона Мюнхгаузена,55.7719604,37.481038
Самоцветы,55.7810999,37.4795144
Центральный музей им. Б.В.Зимина Всероссийского общества слепых,55.787592,37.5109055
Музей истории телефонной связи МГТС,55.7956302,37.5034669
Музей памяти погибших воинов в Афганистане_-_ Чечне и других горячих точках,55.8099708,37.4563707
Музей истории евреев в России,55.793716,37.5605257
Музей спортивной славы ЦСКА,55.7950452,37.5386966
Музей охоты и рыболовства,55.8398495,37.4887573
Музей Морского космического флота,55.7876993,37.6299878
Музей экономики и быта,55.8434168,37.4340882
Музей денег,55.8578944,37.4656142
Научно-художественный музей коневодства,55.8305994,37.553283
Музей русского костюма,55.8489299,37.5871807
Музей истории телефона,55.7649901,37.5879818
Музей народной игрушки 'Забавушка',55.79666,37.7332167
Музей истории Российского флота,55.7944017,37.7517782
Музей янтаря,55.7939815,37.7510901
Музей колоколов,55.7941171,37.7519522
Музей национального костюма,55.7942772,37.7519126
Музей русской игрушки,55.7945951,37.7505642
Музей русской сказки,55.7945462,37.7511613
Музей истории водки,55.7940393,37.750584
Музей хлеба,55.794126,37.7495321
Всемирная история в пластилине,55.7940335,37.7518467
Центральный музей Внутренних войск МВД России,55.7604841,37.6984822
Музей-квартира А.М. Васнецова,55.7637956,37.6487268
Музей службы внешней разведки,55.7468011,37.7163464
Музей кочевой культуры,55.7447338,37.7195663
Музей предпринимателей_-_ меценатов и благотворителей,55.7246933,37.6088853
Московский музей образования,55.7360348,37.6298234
Музей Игоря Талькова,55.7436562,37.6262588
Экоцентр «Воробьёвы горы»,55.7125565,37.5774275
Музей-кабинет П.Л. Капицы,55.7086433,37.5756483
Мемориальный кабинет-музей академика А.П. Виноградова,55.7053245,37.5496523
Музей традиционных русских напитков,55.6745198,37.4347453
Родные истоки,55.7020943,37.7458006
Музей воинской славы «Победные дни России»,55.7202157,37.8177448
Мытищинский историко-художественный музей,55.9112688,37.7356398
Аналемматические солнечные часы,55.7201155,37.5077719
Фестивальный цветок,55.8536755,37.4862083
Музей АЗ,55.7722158,37.5938887
None429,55.7027615,37.5562918
None430,55.8887437,37.564519
Вальс,55.899865,37.5716165
Cказочный поезд,55.90003,37.571592
Веселые лодочки,55.8998328,37.5727468
Автодром,55.7941309,37.6712499
Водные шары,55.7937932,37.6717615
Богатырь,55.900974,37.5730528
Избушка на курьих ножках,55.9012187,37.5728964
None439,55.9013626,37.5728144
Батут,55.899642,37.5703078
None441,55.9004916,37.5712784
Сова,55.8211583,37.6012317
None443,55.9011074,37.5728838
Шахматная доска,55.9001834,37.570074
Надувные батуты,55.8999473,37.5702973
None446,55.7576798,37.4282292
Западный холм,55.7532903,37.419838
Песня,55.7691205,37.622057
Батуты,55.8778742,37.5320421
Весёлые горки,55.8997089,37.5719032
Вихрь,55.8999406,37.5723232
Каноэ ривер,55.7807808,37.7526027
Корсар,55.7937297,37.6733985
Летающая тарелка,55.8997006,37.572304
Прыгающая звезда,55.9002662,37.573088
